19/03 16:15:00 FINEST server.TACConnection|XML_OUT(FirstTest@tac-4): <getQuote><lastAskPrice>0.0000</lastAskPrice><lastBidPrice>92.0187</lastBidPrice><lastQuoteTime>1363709700</lastQuoteTime><nextQuoteTime>1363709730</nextQuoteTime><lastClearPrice>85.9983</lastClearPrice><lastClearTime>1363709470</lastClearTime><finalClearTime>1363709700</finalClearTime><nextClearTime>0</nextClearTime><hypotheticalQuantityWon> </hypotheticalQuantityWon><auctionStatus>3</auctionStatus><commandStatus>0</commandStatus></getQuote>
19/03 16:15:00 FINEST server.TACConnection|XML_IN(FirstTest@tac-4): <getQuote><auctionID>107</auctionID></getQuote>
19/03 16:15:00 FINEST server.TACConnection|XML_OUT(FirstTest@tac-4): <getQuote><lastAskPrice>55.2158</lastAskPrice><lastBidPrice>0.0000</lastBidPrice><lastQuoteTime>1363709700</lastQuoteTime><nextQuoteTime>1363709730</nextQuoteTime><lastClearPrice>66.4784</lastClearPrice><lastClearTime>1363709590</lastClearTime><finalClearTime>1363709700</finalClearTime><nextClearTime>0</nextClearTime><hypotheticalQuantityWon> </hypotheticalQuantityWon><auctionStatus>3</auctionStatus><commandStatus>0</commandStatus></getQuote>
19/03 16:15:00 FINEST server.TACConnection|XML_IN(FirstTest@tac-4): <getQuote><auctionID>108</auctionID><bidID>3550</bidID></getQuote>
19/03 16:15:00 FINEST server.TACConnection|XML_OUT(FirstTest@tac-4): <getQuote><lastAskPrice>82.1404</lastAskPrice><lastBidPrice>56.4131</lastBidPrice><lastQuoteTime>1363709700</lastQuoteTime><nextQuoteTime>1363709730</nextQuoteTime><lastClearPrice>72.3636</lastClearPrice><lastClearTime>1363709530</lastClearTime><finalClearTime>1363709700</finalClearTime><nextClearTime>0</nextClearTime><hypotheticalQuantityWon> </hypotheticalQuantityWon><auctionStatus>3</auctionStatus><commandStatus>0</commandStatus></getQuote>
19/03 16:15:00 FINEST server.TACConnection|XML_IN(FirstTest@tac-4): <getQuote><auctionID>109</auctionID></getQuote>
19/03 16:15:00 FINEST server.TACConnection|XML_OUT(FirstTest@tac-4): <getQuote><lastAskPrice>60.9433</lastAskPrice><lastBidPrice>0.0000</lastBidPrice><lastQuoteTime>1363709700</lastQuoteTime><nextQuoteTime>1363709730</nextQuoteTime><lastClearPrice>100.0251</lastClearPrice><lastClearTime>1363709520</lastClearTime><finalClearTime>1363709700</finalClearTime><nextClearTime>0</nextClearTime><hypotheticalQuantityWon> </hypotheticalQuantityWon><auctionStatus>3</auctionStatus><commandStatus>0</commandStatus></getQuote>
19/03 16:15:00 FINEST server.TACConnection|XML_IN(FirstTest@tac-4): <getQuote><auctionID>110</auctionID></getQuote>
19/03 16:15:00 FINEST server.TACConnection|XML_OUT(FirstTest@tac-4): <getQuote><lastAskPrice>59.3781</lastAskPrice><lastBidPrice>0.0000</lastBidPrice><lastQuoteTime>1363709700</lastQuoteTime><nextQuoteTime>1363709730</nextQuoteTime><lastClearPrice>0.0000</lastClearPrice><lastClearTime>0</lastClearTime><finalClearTime>1363709700</finalClearTime><nextClearTime>0</nextClearTime><hypotheticalQuantityWon> </hypotheticalQuantityWon><auctionStatus>3</auctionStatus><commandStatus>0</commandStatus></getQuote>
19/03 16:15:00 FINEST server.TACConnection|XML_IN(FirstTest@tac-4): <getQuote><auctionID>111</auctionID></getQuote>
19/03 16:15:00 FINEST server.TACConnection|XML_OUT(FirstTest@tac-4): <getQuote><lastAskPrice>55.5931</lastAskPrice><lastBidPrice>0.0000</lastBidPrice><lastQuoteTime>1363709700</lastQuoteTime><nextQuoteTime>1363709730</nextQuoteTime><lastClearPrice>65.5925</lastClearPrice><lastClearTime>1363709590</lastClearTime><finalClearTime>1363709700</finalClearTime><nextClearTime>0</nextClearTime><hypotheticalQuantityWon> </hypotheticalQuantityWon><auctionStatus>3</auctionStatus><commandStatus>0</commandStatus></getQuote>
19/03 16:15:00 FINEST server.TACConnection|XML_IN(FirstTest@tac-4): <getQuote><auctionID>112</auctionID></getQuote>
19/03 16:15:00 FINEST server.TACConnection|XML_OUT(FirstTest@tac-4): <getQuote><lastAskPrice>57.4024</lastAskPrice><lastBidPrice>50.0109</lastBidPrice><lastQuoteTime>1363709700</lastQuoteTime><nextQuoteTime>1363709730</nextQuoteTime><lastClearPrice>81.7246</lastClearPrice><lastClearTime>1363709410</lastClearTime><finalClearTime>1363709700</finalClearTime><nextClearTime>0</nextClearTime><hypotheticalQuantityWon> </hypotheticalQuantityWon><auctionStatus>3</auctionStatus><commandStatus>0</commandStatus></getQuote>
19/03 16:15:00 FINEST server.TACConnection|XML_IN(FirstTest@tac-4): <submitBid><auctionID>101</auctionID><bidString>((-4 109.96233))</bidString><expireTime>0</expireTime><expireMode>0</expireMode><divisible>1</divisible></submitBid>
19/03 16:15:00 WARNING server.TACServer|replying status auction closed to message submitBid from FirstTest@tac-4
19/03 16:15:00 FINEST server.TACConnection|XML_OUT(FirstTest@tac-4): <submitBid><commandStatus>12</commandStatus></submitBid>
19/03 16:15:00 FINEST server.TACConnection|XML_IN(FirstTest@tac-4): <transIDs><earliestTransID>662</earliestTransID></transIDs>
19/03 16:15:00 FINEST server.TACConnection|XML_OUT(FirstTest@tac-4): <transIDs><ids><list></list></ids><more>0</more><commandStatus>0</commandStatus></transIDs>
19/03 16:15:00 FINEST server.TACConnection|XML_IN(FirstTest@tac-4): <submitBid><auctionID>108</auctionID><bidString>((-2 109.960335))</bidString><expireTime>0</expireTime><expireMode>0</expireMode><divisible>1</divisible></submitBid>
